rownames(exprMat)	LAU125	LAU355	LAU1255	LAU1314
OR11N1P	0	0.1	0	0
OR11Q1P	0	0	0	0
OR12D1	0	0	0	0
OR12D3	0	0	0	0
OR13C1P	0	0	0	0
OR13C3	0	0	0	0
OR13C4	0	0	0	0
OR13C6P	0	0	0	0
OR13C7	0	0	0	0
OR13C8	0	0	0	0
OR13C9	0	0	0	0
OR13D1	0	0	0	0
OR13D2P	0	0	0	0
OR13D3P	0	0	0	0
OR13E1P	0.05	0.12	0	0.25
OR13F1	0	0	0	0
OR13G1	0	0	0	0
OR13H1	0	0	0	0
OR13J1	0.02	0	0	0
OR13K1P	0	0.04	0	0.05
OR13Z1P	0	0	0	0
OR14A16	0	0	0	0
OR14A2	0	0	0	0
OR14C36	0	0.02	0	0
OR14I1	0.05	0.07	0	0.08
OR14J1	0	0	0	0
OR14K1	0	0	0	0.05
OR14L1P	0	0	0.05	0
OR1A1	0	0	0	0
OR1A2	0	0	0	0
OR1AA1P	0	0	0	0
OR1C1	0	0.07	0	0
OR1D2	0	0	0	0
OR1D4	0	0	0	0
OR1E1	0	0	0	0
OR1E2	0	0	0	0
OR1E3	0	0	0	0
OR1F1	0	0.11	0	0.03
OR1F12	0	0.19	0	0
OR1F2P	0	0.26	0	0.05
OR1G1	0	0	0	0
OR1H1P	0	0	0	0.03
OR1I1	0	0	0.04	0
OR1J1	0	0.02	0.05	0.13
OR1J2	0.02	0.01	0	0.09
OR1J4	0	0	0	0.11
OR1K1	0	0	0	0
OR1L1	0	0.02	0	0
OR1L3	0	0	0	0
OR1L4	0	0.05	0	0
OR1L6	0	0	0	0
OR1L8	0	0.16	0	0.08
OR1M1	0	0	0	0
OR1N1	0	0	0	0
OR1N2	0	0	0	0
OR1Q1	0	0	0	0.02
OR1S2	0	0	0	0
OR1X5P	0	0.15	0.08	0.68
OR2A1	0	0.81	0.17	0.49
OR2A1-AS1	41.21	11.11	9.8	15.46
OR2A12	0	0	0	0
OR2A14	0	0	0	0
OR2A15P	0	0	0	0
OR2A2	0	0	0	0
OR2A20P	25.05	2.29	4.63	3.43
OR2A25	0	0	0	0
OR2A3P	0.11	0	0.08	0
OR2A4	0.26	0.51	0	0
OR2A41P	0	0	0	0
OR2A42	1.38	0	0.17	0.49
OR2A5	0	0	0	0
OR2A7	1.42	1.07	0.55	0.66
OR2A9P	25.39	4.08	2.95	7.06
OR2AD1P	0	0	0	0
OR2AE1	0.05	0.02	0.02	0
OR2AF1P	0	0	0	0.03
OR2AG2	0.02	0.06	0	0.02
OR2AH1P	0	0	0	0
OR2AI1P	0	0	0	0
OR2AJ1	0.05	0	0	0
OR2AK2	0.11	0.04	0	0.11
OR2AL1P	0	0	0	0
OR2AM1P	0	0	0	0
OR2AO1P	0	0	0	0
OR2AP1	0	0	0	0
OR2AQ1P	0	0	0	0
OR2AS1P	0	0	0	0
OR2AT1P	0	0	0	0
OR2AT2P	0	0	0.03	0
OR2AT4	0	0	0.07	0
OR2B11	0.03	0.11	0	0.08
OR2B2	0	0	0	0
OR2B3	0	0	0	0
OR2B4P	0	0	0	0
OR2B6	0.16	0	0	0.05
OR2B7P	0	0	0	0
OR2B8P	0	0	0	0
OR2C1	0.07	0.14	0	0.12
OR2C3	0	0	0	0
OR2D2	0	0	0	0.02
OR2D3	0	0.06	0	0
OR2E1P	0	0.05	0	0
OR2F1	0.02	0	0	0
OR2F2	0	0	0	0
OR2G1P	0	0	0	0
OR2G2	0	0	0	0
OR2G3	0	0	0	0
OR2G6	0	0.08	0	0.02
OR2H1	0.01	0	0.01	0.05
OR2H2	0	0.02	0	0
OR2H4P	0	0	0	0
OR2H5P	0	0	0	0
OR2I1P	0.03	0.16	0.68	0
OR2J1	0	0	0	0
OR2J2	0	0	0	0
OR2J3	0	0	0	0
OR2J4P	0	0	0	0
OR2K2	0	0	0	0
OR2L13	3.13	0.19	0.01	0.5
OR2L1P	1.08	0.21	0	0.49
OR2L2	0.65	0.04	0.06	0.17
OR2L3	0.02	0	0	0.07
OR2L5	0.05	0.07	0	0
OR2L6P	0.08	0.05	0	0
OR2L9P	0.03	0	0	0
OR2M1P	0	0	0.03	0
OR2M2	0	0	0	0
OR2M3	0	0	0	0.09
OR2M4	0	0	0	0
OR2M5	0	0	0	0
OR2M7	0	0	0.03	0
OR2N1P	0	0	0	0
OR2P1P	0	0	0	0
OR2R1P	0	0	0	0
OR2S1P	0	0	0.03	0
OR2T1	0	0.02	0	0
OR2T10	0	0.02	0.03	0.38
OR2T12	0	0	0	0
OR2T2	0	0	0	0
OR2T27	0	0.02	0	0
OR2T29	0	0.28	0.03	0.01
OR2T3	0.07	0.68	0	0.5
OR2T32P	0	0.04	0	0
OR2T33	0	0	0	0
OR2T34	0	0.05	0	0.13
OR2T35	0.03	0.09	0	0
OR2T4	0	0.06	0	0
OR2T5	0	0.36	0	0.41
OR2T6	0	0	0	0
OR2T7	0	0	0	0
OR2T8	0.03	0	0	0
OR2U1P	0	0	0	0
OR2U2P	0	0	0	0
OR2V1	0	0	0	0
OR2V2	0	0	0	0
OR2W1	0	0	0	0
OR2W2P	0	0	0	0
OR2W3	0.05	0.04	0	0.22
OR2W4P	0	0	0	0
OR2W5	0	0	0	0
OR2W6P	0	0	0	0
OR2X1P	0	0	0	0
OR2Y1	0	0.02	0	0
OR2Z1	0	0	0	0
OR3A1	0.03	0.11	0.03	0
OR3A2	0	0.21	0	0.14
OR3A3	0	0.29	0.02	0
OR3A4P	0	0	0	0
OR3B1P	0	0	0	0
OR3D1P	0	0	0	0
OR4A11P	0.03	0	0	0
OR4A12P	0	0	0	0
OR4A13P	0	0	0	0
OR4A15	0	0	0	0
OR4A16	0	0	0	0
OR4A17P	0	0	0	0
OR4A18P	0	0	0	0
OR4A19P	0	0	0	0
OR4A1P	0	0	0	0
OR4A21P	0	0	0	0
OR4A2P	0	0	0	0
OR4A3P	0	0	0	0
OR4A40P	0	0	0	0
OR4A41P	0	0	0	0.03
OR4A42P	0	0	0	0
OR4A43P	0	0	0	0
OR4A44P	0	0	0	0
OR4A45P	0	0	0	0
OR4A46P	0	0	0	0
OR4A47	0	0	0	0
OR4A48P	0	0	0	0
OR4A49P	0	0	0	0
OR4A4P	0	0	0	0
OR4A5	0	0	0	0
OR4A50P	0	0	0	0.06
OR4A6P	0	0	0	0
OR4A7P	0	0	0	0
OR4A8	0	0	0	0
OR4A9P	0	0	0	0
OR4B1	0	0	0	0
OR4B2P	0	0	0	0
OR4C10P	0	0	0	0
OR4C11	0	0	0	0
OR4C12	0	0	0	0
OR4C14P	0	0	0	0
OR4C15	0	0	0	0.02
OR4C1P	0	0	0	0
OR4C2P	0	0	0	0
OR4C3	0	0	0	0
OR4C46	0.05	0	0	0
OR4C4P	0	0	0	0
OR4C5	0	0	0	0
OR4C50P	0	0	0	0
OR4C6	0	0.04	0.02	0
OR4C7P	0	0	0	0
OR4C9P	0	0	0	0
OR4D1	0	0	0	0
OR4D10	0	0	0	0
OR4D11	0	0	0	0
OR4D12P	0	0	0	0
OR4D5	0	0	0	0
OR4D6	0	0	0	0
OR4D7P	0	0	0	0
OR4D8P	0	0	0	0
OR4D9	0	0	0	0
OR4E2	0	0	0	0
OR4F13P	0.09	0.14	0.04	0.15
OR4F14P	0	0	0	0
OR4F15	0.13	0	0	0
OR4F17	0	0	0	0
OR4F1P	0	0	0	0.02
OR4F21	0	0	0	0
OR4F2P	0	0	0	0.02
OR4F3	0	0	0	0
OR4F4	0	0	0	0
OR4F5	0	0	0	0
OR4F6	0	0	0	0
OR4F7P	0	0	0	0.02
OR4G11P	0	0	0	0.08
OR4G2P	0	0	0	0
OR4H12P	0	0	0	0
OR4K1	0	0	0	0
OR4K11P	0	0	0.02	0
OR4K12P	0	0	0	0
OR4K13	0	0	0.03	0
OR4K14	0	0	0	0
OR4K15	0	0	0	0
OR4K17	0	0	0	0
OR4K2	0	0	0	0
OR4K3	0	0	0	0
OR4K5	0.09	0	0	0
OR4K6P	0	0	0	0
OR4L1	0	0	0	0
OR4M1	0.02	0	0	0
OR4N2	0	0.02	0	0
OR4N4	0	0	0	0.04
OR4N5	0	0	0	0
OR4P1P	0	0	0	0
OR4P4	0	0	0	0
OR4Q2	0	0.05	0	0
OR4Q3	0	0	0	0
OR4R1P	0	0	0	0
OR4R2P	0	0	0	0.09
OR4R3P	0	0	0	0
OR4S1	0	0	0	0
OR4S2	0	0	0	0.05
OR4V1P	0	0	0	0
OR4X1	0	0	0	0
OR4X2	0	0	0	0
OR4X7P	0	0	0	0
OR51A10P	0	0	0	0.11
OR51A1P	0	0.03	0	0
OR51A2	0	0	0	0.13
OR51A3P	0	0	0	0
OR51A4	0	0	0	0
OR51A5P	0	0	0	0
OR51A6P	0	0	0	0
OR51A7	0	0	0	0
OR51A8P	0	0	0	0
OR51A9P	0	0	0	0
OR51AB1P	0	0	0	0
OR51B3P	0	0.07	0	0
OR51B4	0	0	0	0.05
OR51B6	0	0	0	0
OR51B8P	0	0	0	0
OR51C1P	0	0	0	0
OR51D1	0	0	0	0
OR51E1	0.01	0.01	0	0.02
OR51E2	0	0	0	0.03
OR51F2	0	0	0	0
OR51G2	0	0	0	0
OR51H1	0	0	0	0
OR51H2P	0	0	0	0
OR51I1	0	0	0	0
OR51I2	0	0	0	0
OR51J1	0	0	0	0
OR51K1P	0	0	0	0
OR51L1	0	0.14	0	0
OR51M1	0	0	0	0
OR51N1P	0	0	0	0
OR51P1P	0	0	0	0
OR51Q1	0	0	0	0
OR51R1P	0	0	0	0
OR51S1	0	0	0	0
OR51T1	0	0	0	0
OR51V1	0	0	0	0
OR52A1	0	0	0	0
OR52A4P	0	0	0	0
OR52A5	0	0	0	0
OR52B1P	0	0	0	0
OR52B2	0	0	0	0
OR52B3P	0	0	0	0
OR52B4	0	0	0	0
OR52B5P	0.1	0.09	0	0
OR52B6	0.02	0	0	0
OR52D1	0	0	0	0.05
OR52E2	0	0	0	0
OR52E3P	0	0	0	0
OR52E4	0	0	0	0
OR52E6	0	0	0	0
OR52E7P	0	0	0	0
OR52E8	0	0	0	0
OR52H1	0	0	0.02	0
OR52H2P	0	0	0	0.06
OR52I1	0	0	0	0.18
OR52I2	0	0	0	0
OR52J1P	0	0	0	0
OR52J2P	0	0	0	0.05
OR52J3	0	0	0	0
OR52K1	0	0	0	0.07
OR52K2	0	0	0.02	0
OR52K3P	0.03	0.05	0.69	0
OR52L1	0	0	0	0
OR52M1	0	0	0	0
OR52M2P	0	0.02	0	0.05
OR52N1	0	0.13	0	0.1
OR52N2	0	0	0.02	0
OR52N3P	0	0.16	0	0.43
OR52N4	0.05	1.25	0.8	0.87
OR52N5	0	0	0	0
OR52P1P	0	0	0	0
OR52P2P	0	0	0	0.14
OR52S1P	0	0	0	0
OR52T1P	0	0	0	0
OR52U1P	0	0.12	0.1	0
OR52V1P	0.03	0	0	0
OR52W1	0	0	0	0.07
OR52X1P	0	0	0	0
OR52Y1P	0	0	0	0
OR52Z1	0	0	0	0
OR55B1P	0	0	0	0.02
OR56A1	0	0	0	0
OR56A3	0	0	0	0
OR56A4	0	0	0	0
OR56A5	0	0	0.05	0.05
OR56A7P	0	0	0	0
OR56B1	0	0	0	0
OR56B2P	0	0.09	0	0
OR56B3P	0	0	0	0
OR56B4	0	0.11	0.24	0
OR5A1	0	0	0	0
OR5A2	0	0	0.02	0
OR5AC1	0	0	0	0
OR5AC2	0	0	0	0
OR5AC4P	0	0	0	0
OR5AK1P	0	0	0	0
OR5AK2	0.02	0	0	0.05
OR5AK3P	0	0	0	0
OR5AL2P	0	0	0	0
OR5AM1P	0	0	0	0
OR5AN1	0	0	0	0
OR5AN2P	0	0	0	0
OR5AP1P	0	0.11	0	0
OR5AP2	0	0	0	0
OR5AQ1P	0	0	0	0
OR5AR1	0	0	0	0
OR5AS1	0	0	0	0.03
OR5AU1	0.02	0	0.04	0
OR5AW1P	0	0	0	0
OR5AZ1P	0	0	0.06	0
OR5B10P	0	0	0	0
OR5B12	0	0	14.4	0.05
OR5B17	0	0	0	0
OR5B19P	0	0	0	0
OR5B1P	0	0	0.03	0
OR5B2	0	0	0.94	0
OR5B21	0	0.07	0	0.05
OR5B3	0	0	0	0
OR5BA1P	0	0	0	0
OR5BB1P	0	0	0	0
OR5BC1P	0	0	0	0
OR5BD1P	0	0	0	0
OR5BE1P	0	0	0	0
OR5BH1P	0	0.07	0	0
OR5BM1P	0	0	0	0
OR5BN1P	0	0	0	0
OR5BN2P	0	0	0	0
OR5BR1P	0.04	0	0	0
OR5BS1P	0	0	0	0
OR5C1	0	0	0	0
OR5D14	0	0	0	0
OR5D15P	0	0	0	0.05
OR5D16	0	0	0	0
OR5D17P	0	0	0	0.08
OR5D18	0	0	0	0
OR5D2P	0	0	0	0
OR5E1P	0	0	0	0
OR5F1	0	0	0	0.08
OR5F2P	0.08	0	0	0
OR5G1P	0	0	0	0
OR5G3	0	0	0	0
OR5G4P	0	0	0	0
OR5G5P	0	0	0	0
OR5H1	0	0	0	0
OR5H14	0	0	0.05	0
OR5H15	0	0	0	0
OR5H2	0	0	0	0
OR5H3P	0	0	0	0
OR5H4P	0	0	0	0.05
OR5H5P	0	0	0	0
OR5H6	0	0.06	0	0
OR5H7P	0	0	0	0
OR5H8	0	0	0	0
OR5I1	0	0	0	0
OR5J1P	0	0	0	0
OR5J2	0.13	0	0.05	0.03
OR5J7P	0	0	0	0
OR5K1	0	0	0	0
OR5K2	0	0	0	0
OR5K3	0	0	0.02	0.03
OR5K4	0	0	0	0
OR5L2	0	0	0	0
OR5M1	0	0	0	0
OR5M10	0	0	0	0
OR5M11	0	0	0	0
OR5M12P	0	0	0	0
OR5M13P	0	0	0	0
OR5M14P	0	0	0	0
OR5M2P	0	0	0	0
OR5M3	0	0	0	0
OR5M4P	0	0	0	0
OR5M5P	0	0	0	0
OR5M6P	0	0	0	0
OR5M7P	0	0	0	0
OR5M8	0	0	0	0
OR5M9	0	0	0	0
OR5P1P	0	0	0	0
OR5P2	0	0	0	0
OR5P3	0	0	0	0
OR5P4P	0	0	0	0
OR5S1P	0	0	0	0
OR5T1	0	0.04	0	0
OR5T2	0	0	0	0
OR5T3	0	0	0	0
OR5V1	0	0	0	0
OR5W1P	0	0.05	0	0
OR5W2	0	0.02	0	0
OR6A2	0	0	0	0
OR6B1	0	0	0	0
OR6B2	0	0	0.02	0
OR6B3	0	0.02	0	0
OR6C1	0	0	0	0.07
OR6C2	0	0	0	0
OR6C3	0	0	0.08	0
OR6C4	0	0	0.02	0
OR6C5P	0	0	0	0
OR6C6	0	0	0	0
OR6C64P	0	0	0	0
OR6C65	0	0	0	0
OR6C66P	0	0	0	0
OR6C68	0	0	0	0
OR6C69P	0	0	0	0
OR6C70	0	0	0	0.13
OR6C71P	0	0	0.05	0
OR6C72P	0	0	0	0
OR6C74	0.02	0	0	0
OR6C75	0	0	0	0
OR6C76	0	0	0	0
OR6D1P	0	0	0	0
OR6E1P	13.33	0.07	0.1	0.16
OR6F1	0	0	0	0
OR6K1P	0	0	0	0
OR6K2	0	0	0	0
OR6K3	0	0	0	0
OR6K4P	0	0	0	0
OR6K5P	0	0	0	0
OR6K6	0	0	0	0
OR6L1P	0.03	0.05	0	0.06
OR6M1	0	0	0	0
OR6M2P	0	0	0	0.09
OR6M3P	0	0	0	0
OR6N1	0	0.05	0	0
OR6N2	0	0.02	0	0
OR6P1	0	0	0	0
OR6R1P	0	0.02	0	0
OR6S1	0	0.02	0	0
OR6T1	0	0	0	0
OR6V1	0.05	0	0	0
OR6W1P	0	0	0	0
OR6X1	0	0	0	0.02
OR6Y1	0	0	0	0
OR7A10	0.03	0	0	0
OR7A11P	0	0	0	0
OR7A15P	0.03	0	0	0
OR7A17	0	0.02	0	0
OR7A2P	0	0	0	0
OR7A5	0	0	5.35	0
OR7C1	0.16	0	0.81	0.05
OR7C2	0	0	0	0
OR7D1P	0	0	0	0
OR7D2	0.14	0.16	0.1	0.11
OR7D4	0	0	0.03	0
OR7E100P	0	0	0	0
OR7E101P	0.16	0	0.21	0.16
OR7E102P	0.56	0	0.21	0.05
OR7E109P	0	0	0	0
OR7E10P	0	0	0	0
OR7E110P	0	0	0	0
OR7E111P	0	0	0	0
OR7E115P	0	0.04	0	0
OR7E116P	0	0	0	0
OR7E117P	0.04	0.11	0.06	0
OR7E11P	0	0	0	0
OR7E121P	0	0	0	0
OR7E122P	0	0	0	0
OR7E125P	0	0	0	0
OR7E126P	0.39	0.26	0.11	0.03
OR7E128P	0.12	0.12	0.07	0.19
OR7E129P	0.03	0	0	0.03
OR7E12P	0	0	0	0
OR7E130P	0	0	0	0.11
OR7E136P	0	0.07	0	0
OR7E13P	0.25	0	0	0
OR7E140P	0	0	0	0
OR7E145P	0.04	0	0.35	0
OR7E148P	0.02	0.25	0.08	0.02
OR7E149P	0	0	0	0
OR7E14P	0	0.1	0.05	0.26
OR7E154P	0	0	0	0
OR7E155P	0	0	0	0
OR7E157P	0	0	0	0
OR7E158P	0.03	0	0	0.03
OR7E15P	0	0	0	0
OR7E160P	0	0	0	0
OR7E161P	0.05	0	0	0
OR7E162P	0	0	0	0.06
OR7E163P	0	0	0	0
OR7E18P	0	0	0	0
OR7E19P	0	0.05	0	0
OR7E1P	0	0	0	0
OR7E21P	0	0	0	0
OR7E22P	0.03	0	0	0
OR7E23P	0	0	0	0
OR7E24	0	0	0	0
OR7E25P	0	0	0	0
OR7E26P	0	0	0	0
OR7E28P	0.15	0	0	0.06
OR7E29P	0	0	0.08	0
OR7E2P	0.03	0	0	0
OR7E31P	0.1	0	0	0
OR7E33P	0	0.03	0	0
OR7E35P	0	0	0	0
OR7E36P	0	0	0	0
OR7E37P	0	0	0	0.07
OR7E38P	8.67	8.21	9.81	8.22
OR7E41P	0	0.02	0	0
OR7E43P	0	0.02	0	0
OR7E46P	0.04	0	0	0
OR7E4P	0	0	0	0
OR7E53P	0	0	0	0
OR7E55P	0	0	0	0
OR7E59P	0	0	0	0
OR7E5P	0	0	0	0
OR7E62P	0	0	0	0
OR7E66P	0.06	0	0	0.03
OR7E7P	1.88	0.68	0.23	0.76
OR7E83P	0	0	0	0
OR7E85P	0	0	0	0
OR7E86P	0	0	0	0
OR7E87P	0	0	0	0.03
OR7E89P	0	0	0	0.03
OR7E8P	0	0	0	0
OR7E90P	0	0	0	0
OR7E91P	0	0	0	0.06
OR7E93P	0	0	0	0
OR7E94P	0.17	1.75	0	0.94
OR7E96P	0.24	0.48	0.36	0.37
OR7E97P	0	0	0	0.03
OR7E99P	0	0	0	0
OR7G1	0	0	0	0
OR7G2	0	0	0	0
OR7G3	0	0	0	0
OR7H1P	0	0	0	0.03
OR7H2P	0	0	0	0
OR7L1P	0	0	0	0
OR8A1	0	0	0.18	0
OR8A2P	0	0	0	0
OR8A3P	0	0	0	0
OR8B10P	0	0	0	0
OR8B12	0	0	0	0
OR8B1P	0	0	0	0
OR8B5P	0	0	0	0
OR8B6P	0	0.02	0	0
OR8B7P	0	0	0.03	0
OR8B8	0	0	0	0.02
OR8B9P	0	0	0.05	0
OR8C1P	0	0	0	0
OR8D1	0	0	0	0
OR8D4	0	0	0	0
OR8F1P	0	0	0	0
OR8G1	0	0	0	0.13
OR8G2P	0	0	0	0
OR8G3P	0	0	0	0
OR8G5	0	0.03	0.15	0
OR8H1	0	0	0	0
OR8H2	0	0	0	0
OR8H3	0	0	0	0
OR8I1P	0	0	0	0
OR8I2	0	0	0	0
OR8I4P	0	0	0	0
OR8J1	0	0.06	0	0.14
OR8J2	0.03	0	0	0
OR8J3	0	0	0	0
OR8K1	0	0	0	0
OR8K2P	0	0	0	0
OR8K4P	0	0	0	0
OR8K5	0	0	0	0
OR8L1P	0	0	0	0
OR8Q1P	0	0	0	0
OR8T1P	0	0	0.05	0
OR8U1	0	0	0	0
OR8V1P	0	0	0	0
OR8X1P	0	0.05	0	0
OR9A1P	0	0	0	0
OR9A2	0.02	0	0	0
OR9A3P	0	0	0	0
OR9G1	0	0	0	0
OR9G2P	0	0	0	0
OR9G3P	0.03	0	0.08	0
OR9G4	0	0	0	0
OR9H1P	0	0	0	0
OR9I1	0	0	0	0
OR9I2P	0	0	0	0
OR9K1P	0	0.05	0	0
OR9K2	0	0	0	0
OR9L1P	0.03	0	0	0
OR9M1P	0.08	0.23	0.16	0.03
OR9N1P	0	0	0	0
OR9P1P	0	0	0	0
OR9Q1	0	0	0.03	0
OR9Q2	0	0	0	0
OR9R1P	0	0	0	0
OR9S24P	0	0	0	0
ORAI2	2.85	20.85	2.86	20.52
ORAI3	5.93	8.6	7.68	10.97
ORAOV1	1.64	7.29	5.66	8.44
ORAOV1P1	0.3	0.13	0.29	0.15
ORC1	2.94	2.22	3.03	5.7
ORC2	12.97	22.78	13.65	25.27
ORC3	36.01	17.22	9.23	16.37
ORC4	39.41	29.09	19.56	32.09
ORC5	27.1	13.79	9.61	14.94
ORC6	5.65	3.47	3.86	7.28
ORM1	0	0.56	0	0
ORM2	0	0.3	0	0
ORMDL1	55.2	49.24	40.34	61.09
ORMDL2	16.5	15.53	18.84	17.85
ORMDL3	16.53	51.45	23.08	41.99
OS9	192.73	83.17	117.27	84.55
OSBP	30.2	17.86	12.33	19.73
OSBP2	0.48	0.52	1.35	0.66
OSBPL10	11.23	32.01	26.21	35.89
OSBPL10-AS1	0	0.42	0.28	0.45
OSBPL11	9.21	23.12	8.16	22.76
OSBPL1A	96.77	1.65	21.27	1.61
OSBPL2	25.57	22.97	10.26	21.22
OSBPL3	1.61	22.33	20.05	16.57
OSBPL5	1.36	1.03	1.95	0.63
OSBPL6	0.05	0.22	2.38	0.04
OSBPL7	1.55	4.22	2.95	3.43
OSBPL8	49.76	31.21	19.79	43.54
OSBPL9	354.65	52.32	84.12	60.03
OSBPL9P2	0.34	0	0	0.04
OSBPL9P3	0	0	0	0
OSCAR	0.31	1.02	2.15	0.33
OSCP1	8.65	0.62	4.31	0.95
OSER1	31.4	39.48	30.01	30.59
OSER1-AS1	10.05	5.84	6.61	5.99
OSGEP	16.48	15.73	15.2	23.18
OSGEPL1	9.82	4.94	6.53	6.04
OSGEPL1-AS1	0.25	0.72	0.25	0.27
OSGIN1	2.11	0.34	1.05	0.25
OSGIN2	18.12	15.52	13.12	12.89
OSM	0.15	2.28	5.16	1.1
OSMR	19.91	1.44	0.36	1.8
OSMR-AS1	0.05	0	0	0
OSR1	0	0	0	0.01
OSR2	0.25	0.3	0.34	0.32
OST4	112.45	217.58	231.61	215.47
OSTC	135.51	56.96	83.07	68.76
OSTCP1	0.76	0.5	0.23	0.55
OSTCP2	0	0	0	0
OSTCP4	0	0	0	0
OSTCP5	0	0	0	0
OSTCP6	0	0	0	0
OSTCP8	0	0	0	0
OSTF1	33.31	81.25	35.95	90.44
OSTM1	129.88	54.9	54.48	71.18
OSTM1-AS1	0	0	0	0.01
OSTN	0.01	0	0.04	0
OSTN-AS1	0.05	2.79	0.41	1.09
OTC	0.08	0	0	0
OTOA	0.03	0.14	0.16	0.06
OTOF	0	0	0.1	0.17
OTOG	0	0.01	0	0
OTOGL	0.22	0	0.09	0.08
OTOL1	0	0	0.02	0
OTOP1	0	0	0	0.04
OTOP2	0	0	0	0
OTOP3	0	0	0	0
OTOR	0	0	0	0.05
OTOS	0	0	0	0
OTP	0.03	0	0.05	0
OTUB1	34.5	32.52	63.97	39.22
OTUB2	1.73	0.66	0.72	0.2
OTUD1	4.19	33.02	15.09	37.41
OTUD3	6.02	4.06	2.65	4.36
OTUD4	19.52	27.44	16.12	30.77
OTUD4P1	0	0.05	0.02	0.03
OTUD5	33.22	61.37	36.99	59.97
OTUD6A	0.29	0.65	0.41	0.56
OTUD6B	17.76	7.38	9.98	8.1
OTUD6B-AS1	52.34	20.11	22.31	24.06
OTUD7A	0.07	0.06	0.07	0.02
OTULIN	5.72	20.62	15.22	22.18
OTX1	0.19	0.02	0.39	0
OTX2	0	0	0	0.01
OTX2-AS1	0.59	0.47	0.15	0.71
OTX2P1	0	0	0	0
OVAAL	0.27	0.03	0.06	0
OVCH1	0.23	0.02	0	0.07
OVCH2	0	0	0	0
OVGP1	0.08	5.29	0.61	2.49
OVOL1	0.02	0.01	0	0.02
OVOL1-AS1	0.06	0	0.06	0
OVOL2	0	0	0	0
OVOL3	0	0	0	0
OXA1L	86.65	80.14	65	101.59
OXCT1	38.3	27.87	39.79	34.13
OXCT1-AS1	0	0	0.06	0
OXCT2	0.18	0.23	0.06	0.09
OXCT2P1	0.34	0.08	0.08	0
OXER1	0.55	0.38	0.08	0.15
OXGR1	0	0.02	0	0.22
OXLD1	0.86	2.75	2.09	3.65
OXNAD1	7.21	25.78	15.79	16.65
OXR1	50.01	28.34	21.61	30.26
OXSM	8.8	8.09	7.15	7.59
OXSR1	23.51	22.1	22.67	23.58
OXT	0	0	0	0.11
OXTR	0.1	0.04	0.15	0.1
P2RX1	0.02	1.82	0.26	2.24
P2RX2	0	0.01	0	0
P2RX3	0.02	0.02	0.08	0.02
P2RX4	9.21	10.1	13.12	9.16
P2RX5	1.07	47.41	7	70.29
P2RX6	2.38	0.04	0.85	0.05
P2RX6P	0.07	0.35	0.03	0
P2RX7	56.2	5.2	22.42	2.67
P2RY1	5.58	0.18	0.57	0.4
P2RY10	1.79	119.4	36.85	100.11
P2RY10BP	0	0.05	0	0
P2RY11	1.18	6.36	2.12	5.18
P2RY12	3.51	1.77	1.37	8.99
P2RY13	0.05	4.91	1.88	1.92
P2RY14	0.12	16.42	1.67	16.71
P2RY2	0.08	0.3	0.93	0.36
P2RY4	0.03	0.04	0	0.04
P2RY6	0.11	1.37	1.48	0.62
P2RY8	0.66	36.62	6.56	50.08
P3H1	48.92	9.71	12.62	12.83
P3H2	0.22	2.26	0.82	1.93
P3H2-AS1	1.02	1.58	37.27	0.6
P3H3	4.54	0.21	2.97	0.35
P3H4	10.67	0.93	4.01	0.62
P4HA1	126.59	21.06	48.43	22.08
P4HA2	34.24	0.58	16.48	2.88
P4HA2-AS1	0	0	0	0
P4HA3	0.6	0.03	0.19	0.01
P4HA3-AS1	0.03	0	0	0.03
P4HB	751.68	198.48	548.03	236.85
P4HTM	1.64	6.52	3.69	7.01
PA2G4	176.41	90.99	139.87	120.18
PA2G4P1	0.02	0	0.02	0.04
PA2G4P2	0	0	0	0.02
PA2G4P4	0.13	0.06	0.16	0.43
PA2G4P6	0	0.05	0.02	0.02
PAAF1	33.58	8.48	21.16	11.5
PABPC1	3677.34	3411.87	3551.23	3100.64
PABPC1L	4.23	4.61	5.2	4.1
PABPC1L2A	0	0	0	0
PABPC1L2B	0	0	0	0
PABPC1L2B-AS1	0	0	0	0.05
PABPC1P1	0.45	0.09	0.05	0.09
PABPC1P10	0	0	0	0
PABPC1P11	0	0	0	0
PABPC1P12	0	0	0	0
PABPC1P2	0	0	0	0
PABPC1P3	0.5	0.67	0.18	0.06
PABPC1P6	0	0	0	0
PABPC1P7	0.05	0.07	0.02	0.29
PABPC1P8	0	0	0	0.03
PABPC1P9	0	0	0	0
PABPC3	0.76	0.85	0.57	0.63
PABPC4	203.4	206.16	191.9	154.51
PABPC4L	0	0	0.23	0
PABPC5	5.39	0	1.13	0.08
PABPC5-AS1	0.07	0	0	0
PABPN1	40.71	51.09	42.2	52.16
PABPN1L	0	0.02	0	0.02
PACRG	0.78	0.07	0.03	0.11
PACRG-AS2	0	0	0	0
PACRG-AS3	0	0	0	0
PACRGL	11.08	4.38	6.39	4.29
PACS1	19.7	122.66	34.28	114.14
PACS2	4.4	4.36	3.82	3.52
PACSIN1	0.18	4.27	1.68	8.16
PACSIN2	130.76	29.26	54.19	27.54
PACSIN3	6.27	0.04	5.48	0.05
PADI1	0	0	0.01	0
PADI2	0.13	0.33	2.75	0.41
PADI3	0	0.01	0	0
